Location/Name,Owner address,Explorer,Sitebot,Earnings (HNT),Group,Active,Notes,Suspected vector,rewards_24h,rewards_prev_24h,,rewards_72h,rewards_prev_72h,,rewards_7d,rewards_prev_7d,,rewards_30d,rewards_prev_30d,,rewards_alltime
Found a suspicious looking group of hotspots? Please add them to this list,,,,,,,,,,,,,,,,,,,,,
Feel free to add additional information or columns as well,,,,,,,,,,,,,,,,,,,,,
Please refrain from including personally identifiable information,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Hotspot modifications dashboard: https://etl.dewi.org/public/dashboard/9d6a7a38-755e-4380-8291-7c6f60c628cb,,,,,,,,,,,,,,,,,,,,,
12/20/2020: several suspicuous wallets found based on number of re-asserts in: https://etl.dewi.org/public/dashboard/9d6a7a38-755e-4380-8291-7c6f60c628cb including several Port Huron and Modesto wallets previously not listed. Went through all > 40 re-asserts.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,"750k+ Red, 200k+ Yellow, 100k+ Orange",,,,,Data populated as of 12/22/2020 -- does not account for variable block times over last ~60 days (between 50-70s),,,,,,,,,,,,
"Port Huron; Fort Gratiot; Waverly, NY; Gillete, WY; Dominican Republic",13JyFksMcfyMTpycMy1XStssPWcQJut61n68sMUhG1cJQBmwUWi,link,link,750k+,Port Huron,Y,Port Huron also operates legitimate hotspots,Likely hacked OG hotspot with custom middleman,404.01,557.15,-27.49%,1736,4618,-62.40%,9124,18845,-51.58%,70877,53974,23.85%,789086
,14cSUPEX76FLdhjgyT6Y6fBFYzeJdTjTMDDrHDnpeA8tSXmYrfq,link,link,218k+,Port Huron,Y,Gaming predates middleman code so they probably have their own software,,36.12,96.58,-62.60%,322,726,-55.65%,1327,2282,-41.87%,7334,1895,74.16%,232657
"Dominican Republic; Fort Gratiot; Havre, MT",13gXUZcSK6RBAByDQmETVNgqXBQcSi7agTe1gN7mWevVJSY6qsp,link,link,1mil+,Port Huron,Y,,Likely hacked OG hotspot with custom middleman,135.49,282.33,-52.01%,1040,1876,-44.58%,3889,3682,5.63%,15199,22263,-46.47%,1082532
,13ZvzzTLAju2BhX1qUmZYPBy8MEvpzW8DHDBpLXftyviHffT9Qs,link,link,27k+,Port Huron,Y,,,89.47,103.2,-13.30%,414,668,-37.93%,1319,3806,-65.36%,10443,7869,24.65%,30116
"Havre, MT; Stonington, CT",13pSQBKuR1AZVynmBgyfdKo7gFaKEMmM63BV8mKRGBLqo5j3GSx,link,link,54k+,Stonington,Y,Distinct from PH group. This is definitely Port Huron but can't say why without personally identifiable information.,,56.71,32.36,75.25%,139,103,34.42%,353,940,-62.45%,3568,4118,-15.43%,55159
,14iFzQ429bvb8gFuwcwjdutbxQMGU1d18q1Wu6WFMegP7P1Ycu2,link,link,107k+,Stonington,Y,Includes legit nodes?,,378.36,257.18,47.12%,1051,958,9.74%,2463,3867,-36.33%,17783,19799,-11.34%,111210
"Truth and Consequences, NM; Roswell, NM; Vail, AZ; Venice, IT; Corona De Tucon, AZ",13uegfBpyoVtigrbMLeAHETVbAuMxSfwfezBDq5vCHHFwPuVo43,link,link,100k+,Port Huron?,Y,Linked to Port Huron via shared cluster activity. They re-assert often. Possibly distinct cluster,,32.23,109.3,-70.51%,303,1256,-75.91%,2482,5928,-58.13%,13533,33249,-145.69%,116950
,13pXNJvESrFVKrWP8KzXJrE1a1ncA5S5DaZa2z7i3H8mrcC13vL,link,link,22k+,Port Huron?,Y,"Moving some hotspots to Venice, IT",,50.26,120.65,-58.34%,337,938,-64.08%,2062,4043,-49.00%,11229,10303,8.25%,22848
